1	  0.688744     0.688744      0.691649    0.692382    0.693143  0.693143
2	  1.374416     1.372562      1.382101    1.384265    1.386178  1.386275
3	  2.046241     2.051972      2.061840    2.068851    2.077727  2.079188
4	  2.674343     2.716595      2.735393    2.749094    2.765840  2.771358
5	  3.197283     3.344084      3.385036    3.422299    3.451469  3.462698
6	  3.627954     3.856245      4.003661    4.077133    4.131301  4.150506
7	  3.812356     4.212844      4.498492    4.695229    4.792750  4.831556
8	  3.897076     4.460408      4.880826    5.237083    5.418925  5.492401
9	  3.926281     4.605379      5.172151    5.644954    5.962473  6.106105
10	3.931664     4.685817      5.345659    5.912807    6.359905  6.634134
11	3.937586     4.723584      5.418451    6.068673    6.619700  7.036752
12	3.944083     4.750213      5.472734    6.146931    6.755493  7.290587
13	3.951193     4.753476      5.485553    6.180867    6.826116  7.435533
14	3.931774     4.744818      5.487105    6.195458    6.862936  7.512989
15	3.911972     4.736084      5.488704    6.204556    6.888762  7.560907
16	3.891771     4.727278      5.484562    6.205333    6.900635  7.580696
17	3.871156     4.718393      5.480388    6.206059    6.907795  7.594390
18	3.850101     4.709421      5.476212    6.204092    6.910920  7.602608
19	3.828594     4.700371      5.472023    6.202013    6.911421  7.607099
